seq.ID	lib.ID	date.seq.run	machine	lane
BFYHXSPR	LB111_E06	220915	A01147	4
BFZJIWSJ	LB101_E07	220815	A01147	3
BGGGJABV	LB6_D05	210430	A01059	3
BGGZNISA	LB87_G10	220815	A01147	3
BGKFHHIZ	LB77_F03	211001	A01059	3
BGMQXRDD	LB115_A10	220915	A01147	1
BGOGODZF	LB63_E11	211001	A01059	1
BGYFOWZW	LB92_A04	220815	A01147	1
BHBPEDGV	LB19_E07	210921	A01059	1
BHCFVQGM	LB68_E06	211001	A01059	4
BHCSOQXG	LB121_B06	220915	A01147	2
BHEWNXSB	LB77_B11	211001	A01059	3
BHGVJZAY	LB20_B12	210430	A01059	1
BHSZBQKH	LB111_G09	220915	A01147	4
BHYDRHRR	LB4_C02	210430	A01059	2
BIBULXFK	LB131_B01	220915	A01147	3
BIHEPSOH	LB99_B04	220815	A01147	3
BIKWNSXJ	LB96_D06	220815	A01147	4
BILQXOHB	LB70_D08	211013	A01059	1
BJDTDVVL	LB129_C07	220815	A01147	2
BJHVWEQP	LB6_A01	210430	A01059	3
BJIDSENB	LB20_G06	210505	A01059	1
BJKQRJZW	LB6_G02	210430	A01059	3
BJVIVIMM	LB39_E08	211013	A01059	2
BJXHGADW	LB20_D05	210430	A01059	3
BKGTWTYJ	LB122_D10	220815	A01147	1
BKPHOERV	LB97_D07	220815	A01147	4
BKPMNEKJ	LB75_F11	210921	A01059	2
BKRSFUGD	LB2_C03	210430	A01059	3
BKSUTLHO	LB50_E07	211001	A01059	2
BLBKEELQ	LB77_D01	211001	A01059	3
BLQEFCAA	LB121_A06	220915	A01147	2
BLUBHFQR	LB20_B06	210505	A01059	2
BLWZGXPQ	LB5_D09	210430	A01059	2
BLXWYHTU	LB84_A07	220815	A01147	1
BMHNLOXU	LB128_G05	220915	A01147	3
BNDAWQVI	LB87_G09	220815	A01147	3
BNIEPCAC	LB20_C02	210505	A01059	2
BNKMSVCL	LB129_D05	220815	A01147	2
BOCWKICO	LB45_G06	210921	A01059	3
BODGIJOV	LB109_H04	220815	A01147	4
BODJBTWI	LB20_F01	210430	A01059	3
BOHATHTD	LB68_D12	211001	A01059	4
BOTUKSUZ	LB15_F02	210505	A01059	1
BPDPQZLP	LB19_A04	210921	A01059	1
BPIMPARB	LB15_C02	210430	A01059	1
BPKHCLHL	LB47_B10	210921	A01059	4
BPNFUZSN	LB87_C12	220815	A01147	3
BPQQNDJX	LB32_B04	210921	A01059	4
BQAVMWJB	LB4_D04	210430	A01059	2
BQCGXNKN	LB42_B07	211013	A01059	2
BQHNGGQV	LB70_E07	211013	A01059	1
BQLIRBLI	LB128_D06	220915	A01147	3
BQNTQRLR	LB9_H03	210430	A01059	4
BQPQRVHI	LB31_B06	211001	A01059	3
BQUOTSEK	LB77_G10	211001	A01059	3
BRHVNOGJ	LB85_H01	220815	A01147	2
BRQIWVCT	LB15_E10	210430	A01059	1
BRXGEQYO	LB50_D05	211001	A01059	2
BRYNQPOJ	LB15_B05	210505	A01059	1
BSIDHFHG	LB83_H04	211013	A01059	4
BSNAYDBM	LB6_H05	210430	A01059	3
BSNDCZYZ	LB73_B07	211013	A01059	2
BSUJWDAE	LB44_F08	210921	A01059	3
BTBOYFLK	LB5_F07	210430	A01059	2
BTBTWUFZ	LB12_C04	210430	A01059	3
BTCRECFJ	LB80_C04	211013	A01059	3
BTCSSAKZ	LB63_F11	211001	A01059	1
BTJKBNYB	LB87_G04	220815	A01147	3
BTLVZUSY	LB6_D03	210430	A01059	3
BTUQLCYF	LB115_C02	220915	A01147	1
