one.minus.specificity,sensitivity,fold
0.83583584,0.74598411,mean
0.83683684,0.74598411,mean
0.83783784,0.74598411,mean
0.83883884,0.76964002,mean
0.83983984,0.76964002,mean
0.84084084,0.76964002,mean
0.84184184,0.76964002,mean
0.84284284,0.76964002,mean
0.84384384,0.76964002,mean
0.84484484,0.76964002,mean
0.84584585,0.76964002,mean
0.84684685,0.76964002,mean
0.84784785,0.77579387,mean
0.84884885,0.77579387,mean
0.84984985,0.77579387,mean
0.85085085,0.77579387,mean
0.85185185,0.77579387,mean
0.85285285,0.77579387,mean
0.85385385,0.77579387,mean
0.85485485,0.77579387,mean
0.85585586,0.77579387,mean
0.85685686,0.77579387,mean
0.85785786,0.79374259,mean
0.85885886,0.79374259,mean
0.85985986,0.79374259,mean
0.86086086,0.79374259,mean
0.86186186,0.79374259,mean
0.86286286,0.79374259,mean
0.86386386,0.79374259,mean
0.86486486,0.79374259,mean
0.86586587,0.79374259,mean
0.86686687,0.79374259,mean
0.86786787,0.79374259,mean
0.86886887,0.79374259,mean
0.86986987,0.79374259,mean
0.87087087,0.79374259,mean
0.87187187,0.79374259,mean
0.87287287,0.79374259,mean
0.87387387,0.79374259,mean
0.87487487,0.79374259,mean
0.87587588,0.81727200,mean
0.87687688,0.81727200,mean
0.87787788,0.81727200,mean
0.87887888,0.81727200,mean
0.87987988,0.81727200,mean
0.88088088,0.81727200,mean
0.88188188,0.82034892,mean
0.88288288,0.82034892,mean
0.88388388,0.82034892,mean
0.88488488,0.82034892,mean
0.88588589,0.82034892,mean
0.88688689,0.82034892,mean
0.88788789,0.82034892,mean
0.88888889,0.82034892,mean
0.88988989,0.82034892,mean
0.89089089,0.82034892,mean
0.89189189,0.82034892,mean
0.89289289,0.82034892,mean
0.89389389,0.82034892,mean
0.89489489,0.82034892,mean
0.89589590,0.82034892,mean
0.89689690,0.82034892,mean
0.89789790,0.82034892,mean
0.89889890,0.82034892,mean
0.89989990,0.82034892,mean
0.90090090,0.82034892,mean
0.90190190,0.82034892,mean
0.90290290,0.82034892,mean
0.90390390,0.82465000,mean
0.90490490,0.82465000,mean
0.90590591,0.82465000,mean
0.90690691,0.82465000,mean
0.90790791,0.82465000,mean
0.90890891,0.82465000,mean
0.90990991,0.82465000,mean
0.91091091,0.82465000,mean
